iter	Passed	Remaining
550	3386	2759
551	3392	2753
552	3399	2747
553	3406	2742
554	3416	2739
555	3422	2733
556	3429	2727
557	3435	2721
558	3440	2714
559	3448	2709
560	3453	2702
561	3458	2695
562	3465	2689
563	3470	2683
564	3478	2677
565	3483	2671
566	3490	2665
567	3497	2659
568	3502	2653
569	3508	2646
570	3516	2641
571	3521	2634
572	3527	2628
573	3533	2622
574	3540	2616
575	3547	2611
576	3553	2605
577	3562	2601
578	3568	2594
579	3580	2592
580	3585	2586
581	3594	2581
582	3601	2575
583	3608	2570
584	3616	2565
585	3634	2567
586	3643	2563
587	3648	2556
588	3659	2553
589	3665	2547
590	3672	2541
591	3681	2536
592	3686	2529
593	3697	2527
594	3704	2521
595	3710	2515
596	3716	2508
597	3723	2502
598	3730	2497
599	3739	2492
600	3747	2488
601	3753	2481
602	3763	2477
603	3770	2472
604	3778	2466
605	3785	2461
606	3792	2455
607	3798	2449
608	3807	2444
609	3813	2438
610	3820	2432
611	3825	2425
612	3830	2418
613	3839	2413
614	3845	2407
615	3907	2435
616	3919	2433
617	3928	2428
618	3979	2449
619	3990	2446
620	4001	2442
621	4009	2436
622	4025	2436
623	4032	2429
624	4039	2423
625	4054	2422
626	4061	2416
627	4068	2410
628	4074	2402
629	4079	2395
630	4085	2389
631	4090	2382
632	4097	2375
633	4102	2368
634	4107	2361
635	4114	2354
636	4120	2347
637	4127	2341
638	4136	2336
639	4143	2330
640	4150	2324
641	4158	2318
642	4168	2314
643	4174	2307
644	4181	2301
645	4187	2294
646	4199	2291
647	4206	2284
648	4215	2279
649	4222	2273
650	4229	2267
651	4238	2262
652	4244	2255
653	4252	2249
654	4257	2242
655	4269	2238
656	4279	2234
657	4286	2227
658	4298	2224
659	4303	2217
660	4312	2211
661	4318	2205
662	4326	2199
663	4335	2193
664	4343	2188
665	4350	2181
666	4356	2174
667	4363	2168
668	4368	2161
669	4376	2155
670	4384	2149
671	4396	2145
672	4403	2139
673	4411	2133
674	4418	2127
675	4425	2121
676	4431	2114
677	4441	2109
678	4446	2102
679	4457	2097
680	4463	2091
681	4474	2086
682	4486	2082
683	4494	2076
684	4502	2070
685	4510	2064
686	4519	2059
687	4525	2052
688	4534	2046
689	4540	2040
690	4546	2032
691	4560	2029
692	4570	2024
693	4576	2017
694	4582	2010
695	4587	2003
696	4593	1996
697	4599	1989
698	4605	1983
699	4611	1976
700	4619	1970
701	4626	1963
702	4632	1957
703	4638	1950
704	4644	1943
705	4652	1937
706	4659	1930
707	4666	1924
708	4672	1917
709	4680	1911
710	4688	1905
711	4694	1898
712	4703	1893
713	4710	1886
714	4718	1880
715	4727	1875
716	4734	1868
717	4740	1861
718	4749	1856
719	4755	1849
720	4764	1843
721	4769	1836
722	4776	1830
723	4782	1822
724	4788	1816
725	4797	1810
726	4803	1803
727	4809	1797
728	4815	1790
729	4820	1782
730	4827	1776
731	4832	1769
732	4838	1762
733	4844	1755
734	4849	1748
735	4856	1742
736	4862	1735
737	4867	1728
738	4873	1721
739	4878	1714
740	4884	1707
741	4889	1700
742	4895	1693
743	4901	1686
744	4907	1679
745	4912	1672
746	4918	1665
747	4930	1661
748	4935	1654
749	4942	1647
750	4947	1640
751	4952	1633
752	4958	1626
753	4963	1619
754	4969	1612
755	4974	1605
756	4980	1598
757	4985	1591
758	4991	1585
759	4998	1578
760	5006	1572
761	5013	1565
762	5019	1559
763	5025	1552
764	5032	1545
765	5039	1539
766	5045	1532
767	5053	1526
768	5059	1519
769	5067	1513
770	5075	1507
771	5083	1501
772	5091	1495
773	5097	1488
774	5104	1481
775	5112	1475
776	5148	1477
777	5157	1471
778	5164	1465
779	5170	1458
780	5180	1452
781	5191	1447
782	5201	1441
783	5210	1435
784	5216	1428
785	5224	1422
786	5233	1416
787	5243	1410
788	5258	1406
789	5265	1399
790	5272	1393
791	5281	1387
792	5288	1380
793	5295	1374
794	5305	1368
795	5313	1361
796	5318	1354
797	5325	1348
798	5333	1341
799	5341	1335
800	5346	1328
801	5355	1322
802	5362	1315
803	5367	1308
804	5374	1301
805	5382	1295
806	5388	1288
807	5396	1282
808	5401	1275
809	5409	1268
810	5415	1262
811	5422	1255
812	5428	1248
813	5434	1241
814	5442	1235
815	5447	1228
816	5454	1221
817	5460	1214
818	5466	1208
819	5473	1201
820	5479	1194
821	5484	1187
822	5491	1181
823	5497	1174
824	5504	1167
825	5510	1160
826	5516	1154
827	5523	1147
828	5528	1140
829	5534	1133
830	5541	1126
831	5546	1119
832	5555	1113
833	5562	1107
834	5570	1100
835	5576	1093
836	5586	1087
837	5592	1081
838	5598	1074
839	5609	1068
840	5619	1062
841	5626	1055
842	5634	1049
843	5640	1042
844	5649	1036
845	5656	1029
846	5662	1022
847	5710	1023
848	5721	1017
849	5729	1011
850	5743	1005
851	5757	1000
852	5768	994
853	5776	987
854	5791	982
855	5806	976
856	5817	970
857	5824	963
858	5835	957
859	5847	951
860	5855	945
861	5866	939
862	5874	932
863	5887	926
864	5901	921
865	5909	914
866	5922	908
867	5933	902
868	5941	895
869	5953	889
870	5962	883
871	5968	876
872	5973	869
873	5980	862
874	5986	855
875	5992	848
876	5998	841
877	6004	834
878	6010	827
879	6016	820
880	6021	813
881	6029	806
882	6036	799
883	6042	792
884	6048	786
885	6054	779
886	6062	772
887	6068	765
888	6077	758
889	6083	751
890	6091	745
891	6099	738
892	6107	731
893	6114	724
894	6120	718
895	6129	711
896	6135	704
897	6142	697
898	6148	690
899	6155	683
900	6162	677
901	6168	670
902	6176	663
903	6182	656
904	6190	649
905	6196	642
906	6202	636
907	6211	629
908	6218	622
909	6226	615
910	6232	608
911	6239	602
912	6245	595
913	6253	588
914	6261	581
915	6267	574
916	6276	568
917	6281	561
918	6288	554
919	6294	547
920	6300	540
921	6308	533
922	6314	526
923	6321	519
924	6327	513
925	6332	506
926	6342	499
927	6349	492
928	6359	486
929	6366	479
930	6374	472
931	6381	465
932	6389	458
933	6395	451
934	6401	445
935	6407	438
936	6414	431
937	6424	424
938	6430	417
939	6440	411
940	6447	404
941	6455	397
942	6460	390
943	6466	383
944	6472	376
945	6478	369
946	6487	363
947	6492	356
948	6501	349
949	6507	342
950	6515	335
951	6522	328
952	6536	322
953	6541	315
954	6552	308
955	6558	301
956	6567	295
957	6573	288
958	6580	281
959	6586	274
960	6592	267
961	6602	260
962	6608	253
963	6617	247
964	6622	240
965	6630	233
966	6636	226
967	6641	219
968	6650	212
969	6656	205
970	6663	199
971	6669	192
972	6674	185
973	6683	178
974	6688	171
975	6695	164
976	6702	157
977	6707	150
978	6715	144
